WEIGHT,CLASS,GROSS CHG,NET,ORG ZIP,DEST ZIP,
88,175,$88.60 ,$106.23 ,30728,42276,
300,60,$95.22 ,$115.17 ,30728,37122,
225,55,$86.00 ,$146.05 ,48309,30728,
232,55,$86.00 ,$145.79 ,48309,30728,
40,300,$88.60 ,$105.26 ,30728,42240,
197,85,$88.60 ,$107.29 ,48359,48326,
197,85,$88.60 ,$107.29 ,48326,48359,
150,150,$88.60 ,$107.03 ,48326,48170,
400,400,"$1,558.58 ",$640.17 ,30728,37416,
66,100,$95.22 ,$115.64 ,30728,32404,
78,100,$95.22 ,$115.64 ,30728,63873,
280,150,$88.60 ,$217.29 ,48326,49237,
116,150,$88.60 ,$102.51 ,30728,37091,
300,55,$86.00 ,$146.05 ,48309,30728,
155,175,$88.60 ,$210.17 ,30728,48326,
114,150,$88.60 ,$106.32 ,48326,44621,
260,150,$86.00 ,$200.36 ,48326,49237,
40,300,$88.60 ,$103.48 ,30728,42240,
270,175,$737.29 ,$294.96 ,30728,39110,
290,60,$92.00 ,$111.73 ,30728,37122,
55,175,$88.60 ,$102.95 ,30728,42240,
310,60,$95.22 ,$115.41 ,30728,37122,
95,150,$387.54 ,$156.41 ,30728,78577,
125,150,$88.60 ,$102.60 ,48326,45320,
156,70,$95.22 ,$115.64 ,43506,15074,
186,250,$88.60 ,$216.85 ,49237,48326,
50,150,$88.60 ,$102.51 ,30728,28762,
114,150,$86.00 ,$100.45 ,30728,38501,
124,200,$86.00 ,$145.96 ,40299,30728,
124,200,$86.00 ,$145.96 ,30728,40299,
225,55,$86.00 ,$146.05 ,30728,48309,
300,55,$86.00 ,$146.05 ,30728,48309,
149,250,$86.00 ,$145.79 ,30728,37355,
232,55,$86.00 ,$145.79 ,30728,48309,
80,150,$89.25 ,$108.08 ,48326,25276,
220,100,$92.00 ,$111.73 ,48326,49247,
130,125,$89.25 ,$109.42 ,48326,25507,
3763,175,$570.00 ,$783.18 ,30728,37416,
75,125,$88.60 ,$102.95 ,48326,44621,
122,55,$97.65 ,$120.79 ,48326,37401,
80,200,$88.60 ,$106.85 ,47711,30728,
70,200,$88.60 ,$106.85 ,47711,30728,
80,200,$88.60 ,$106.85 ,30728,47711,
70,200,$88.60 ,$106.85 ,30728,47711,
121,150,$86.00 ,$100.45 ,30728,42240,
80,55,$86.00 ,$100.45 ,48326,44077,
142,125,$88.60 ,$102.60 ,48326,44621,
81,150,$86.00 ,$100.36 ,30728,42240,
805,60,$107.87 ,$152.64 ,30728,37388,
44,150,$86.00 ,$100.28 ,30728,42240,
55,250,$86.00 ,$100.28 ,30728,42240,
122,150,$86.00 ,$100.28 ,48326,49505,
77,150,$88.60 ,$102.42 ,30728,35490,
106,125,$88.60 ,$102.42 ,48326,44663,
100,150,$86.00 ,$100.19 ,48326,49315,
100,200,$88.60 ,$102.51 ,48326,49315,
145,85,$88.60 ,$106.32 ,48326,49783,
33,150,$86.00 ,$99.93 ,30728,42240,
60,150,$86.00 ,$99.93 ,48326,49315,
124,150,$86.00 ,$99.93 ,48326,45320,
100,150,$388.88 ,$152.23 ,30728,78577,
142,150,$86.00 ,$100.19 ,30728,30165,
121,125,$89.25 ,$108.08 ,48326,25703,
132,150,$86.00 ,$100.28 ,30728,35046,
136,150,$86.00 ,$100.28 ,30728,35986,
50,250,$97.65 ,$121.09 ,48326,24523,
88,100,$92.00 ,$111.73 ,30728,25276,
112,250,$88.60 ,$106.41 ,30728,37355,
330,60,$95.22 ,$117.79 ,30728,37122,
180,150,$88.60 ,$139.71 ,48326,49505,
300,60,$86.00 ,$100.36 ,48309,48326,
300,60,$86.00 ,$100.36 ,48326,48309,
250,85,$86.00 ,$100.19 ,48326,48051,
72,150,$88.60 ,$102.51 ,30728,40601,
106,150,$86.00 ,$100.28 ,48326,44663,
85,100,$98.50 ,$121.60 ,48326,29379,
186,250,$88.60 ,$216.85 ,48326,49237,
70,300,$86.00 ,$100.19 ,30728,35046,
287,150,$610.45 ,$239.10 ,30728,28147,
55,100,$95.22 ,$116.60 ,48326,30728,
79,175,$88.60 ,$103.40 ,30728,40245,
79,175,$88.60 ,$103.40 ,40245,30728,
135,300,$88.60 ,$208.53 ,48326,46135,
41,125,$85.00 ,$103.28 ,48326,25276,
310,55,$180.42 ,$200.48 ,30728,11901,
41,125,$85.00 ,$103.19 ,48326,25276,
337,55,$119.13 ,$116.60 ,48326,44077,
560,100,$148.68 ,$143.13 ,30728,37388,
110,150,$88.60 ,$105.17 ,48326,40601,
75,250,$88.60 ,$107.12 ,48326,40601,
236,65,$88.60 ,$106.85 ,48326,44077,
54,150,$88.60 ,$102.69 ,30728,40245,
54,150,$88.60 ,$102.69 ,40245,30728,
100,150,$88.60 ,$102.42 ,30728,40245,
100,150,$88.60 ,$102.42 ,40245,30728,
64,250,$88.60 ,$106.32 ,30728,45320,
78,150,$86.00 ,$100.45 ,30728,40601,
71,250,$86.00 ,$100.36 ,30728,40601,
80,150,$86.00 ,$100.28 ,30728,40601,
77,300,$86.00 ,$100.28 ,30728,30165,
184,55,$88.60 ,$106.05 ,48326,44077,
75,150,$86.00 ,$100.02 ,30728,40601,
250,85,$88.60 ,$152.29 ,48326,30728,
55,55,$97.20 ,$116.83 ,48326,24523,
155,150,$86.00 ,$100.36 ,48326,48060,
55,100,$95.22 ,$116.60 ,30728,48326,
95,150,$369.44 ,$144.98 ,30728,78577,
125,150,$88.60 ,$105.26 ,48326,49783,
90,150,$85.00 ,$103.11 ,48326,25703,
150,150,$86.00 ,$100.36 ,30728,30165,
85,100,$95.22 ,$118.03 ,48326,29379,
110,150,$88.60 ,$102.69 ,48326,40601,
117,100,$95.22 ,$117.79 ,30728,65202,
137,55,$88.60 ,$102.60 ,30728,42301,
80,150,$86.00 ,$100.45 ,30728,40245,
47,150,$86.00 ,$100.45 ,30728,40245,
80,150,$86.00 ,$100.45 ,40245,30728,
47,150,$86.00 ,$100.45 ,40245,30728,
75,150,$86.00 ,$100.45 ,48326,49783,
255,150,$88.60 ,$178.73 ,48326,48453,
75,150,$88.60 ,$102.51 ,48326,40601,
30,150,$86.00 ,$100.36 ,30728,40245,
85,200,$86.00 ,$100.36 ,40299,30728,
30,150,$86.00 ,$100.36 ,40245,30728,
85,200,$86.00 ,$100.36 ,30728,40299,
120,100,$95.22 ,$117.55 ,30728,48883,
100,100,$95.22 ,$117.55 ,48326,29379,
92,150,$86.00 ,$100.28 ,30728,40245,
30,150,$86.00 ,$100.28 ,30728,40245,
92,150,$86.00 ,$100.28 ,40245,30728,
30,150,$86.00 ,$100.28 ,40245,30728,
77,250,$86.00 ,$100.02 ,30728,40601,
65,70,$86.00 ,$100.19 ,40299,30728,
76,150,$86.00 ,$100.19 ,30728,40245,
70,150,$86.00 ,$100.19 ,30728,40245,
115,150,$86.00 ,$100.19 ,48326,49783,
65,70,$86.00 ,$100.19 ,30728,40299,
76,150,$86.00 ,$100.19 ,40245,30728,
70,150,$86.00 ,$100.19 ,40245,30728,
170,300,$88.60 ,$217.29 ,43506,48326,
170,300,$88.60 ,$217.29 ,48326,43506,
88,55,$97.48 ,$117.31 ,48326,19054,
33,150,$86.00 ,$100.10 ,30728,40245,
44,150,$86.00 ,$100.10 ,30728,40245,
33,150,$86.00 ,$100.10 ,40245,30728,
44,150,$86.00 ,$100.10 ,40245,30728,
62,150,$86.00 ,$99.93 ,30728,40245,
55,300,$86.00 ,$99.93 ,30728,40245,
62,150,$86.00 ,$99.93 ,40245,30728,
55,300,$86.00 ,$99.93 ,40245,30728,
306,150,$88.60 ,$202.69 ,49237,48326,
99,100,$98.50 ,$121.84 ,30728,64153,
210,55,$88.60 ,$103.40 ,48326,44077,
577,55,$86.00 ,$145.79 ,47711,30728,
577,55,$86.00 ,$145.79 ,30728,47711,
330,150,$88.60 ,$217.74 ,49237,48326,
93,100,$98.50 ,$121.60 ,30728,64153,
200,150,$86.00 ,$165.28 ,48326,49783,
45,55,$75.00 ,$91.41 ,30728,37167,
289,55,$88.60 ,$107.03 ,30707,28214,
253,55,$88.60 ,$107.03 ,30707,28214,
320,150,$88.60 ,$210.26 ,49237,48326,
85,250,$86.00 ,$100.36 ,48326,46809,
161,55,$88.60 ,$102.69 ,48326,44077,
